id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
experiments	-0.1712	0.6361	4	1069	13646	2008.056984
explanation	0.6425	-0.0034	2	190	490	2007.120259
exploration	-0.0515	-0.4697	1	311	1140	2009.280242
export	0.8513	-0.5354	1	433	2002	2009.527633
exposure	0.401	-0.5452	1	553	2552	2009.120837
expression	0.1383	-0.467	1	218	566	2010.221853
extension	-0.3336	-0.3736	3	151	372	2007.564542
extent	-0.252	-0.0757	4	1261	21216	2009.292904
extraction	-0.2961	-0.3457	3	279	918	2009.332489
extrapolation	-0.6599	0.2242	3	354	1224	2007.606469
extreme	-0.3957	-0.7497	1	248	780	2011.052923
face	-0.0208	0.1256	2	201	570	2010.409917
facies	0.952	-0.5862	1	181	496	2005.955224
failure	-0.0582	-0.688	1	395	1468	2009.185744
fairbanks	0.2182	0.0694	1	387	1422	2006.056818
fall	-0.1154	0.547	2	568	3282	2008.13205
family	0.184	0.5814	2	217	552	2008.985487
fan	0.5874	-0.608	1	208	550	2007.798982
fast	-0.8581	-0.1272	3	172	454	2008.162581
fate	0.6898	0.2635	2	561	3056	2010.213755
fe	1.1121	0.4152	2	439	2274	2008.842402
features	0.1917	-0.4101	1	1150	15262	2008.398624
feedback	0.2607	0.6797	2	1211	21912	2010.893652
fen	0.2377	-0.7117	1	667	4412	2008.534031
fermentation	1.2074	0.8152	2	210	770	2010.938547
fertilization	0.3848	0.9591	2	238	772	2008.605889
field	-0.3786	-0.1796	3	1353	29770	2008.149599
field data	-0.8911	-0.2614	3	500	2540	2008.705882
field experiment	-0.18	0.3536	4	233	692	2007.60251
field measurements	-0.7037	-0.3726	3	583	3446	2009.733042
field observations	-0.2407	-0.2802	5	703	5042	2009.606725
field studies	0.282	-0.6432	1	351	1354	2007.448052
fire	0.3455	-0.1174	5	802	6916	2009.826617
fish	0.1008	-0.8913	1	239	750	2007.742843
fixation	0.6632	0.4401	2	186	520	2009.097444
flight	-0.8183	0.0196	3	168	458	2007.375
flood	-0.0422	-0.2858	1	704	4206	2008.873819
floodplain	0.4665	-0.4691	1	440	1900	2009.02381
flow	-0.1669	-0.7336	1	1027	14510	2008.227829
fluctuations	-0.0614	-0.2585	1	606	3084	2007.651355
fluid	-0.3988	-0.7609	1	186	528	2008.294565
fluorescence	0.9749	0.2977	2	209	538	2008.645305
fluvial	0.8441	-0.7258	1	204	610	2009.005
flux	0.0152	0.6337	2	1316	33128	2008.597609
focus	-0.3869	-0.0657	3	552	2770	2011.577425
food	0.8454	-0.4175	1	265	988	2008.346694
foothills	0.3081	-0.3242	1	410	1924	2005.243243
