id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
ground truth	-0.4432	-0.061	1	282	972	11	2011.596774
ground-penetrating radar	-0.3885	0.0016	1	70	152	2	2012.766917
group	0.1994	0.5349	2	82	184	3	2011.722362
growth	-0.297	-0.5097	1	304	862	8	2011.406319
habitat	0.6054	-0.7898	3	159	378	4	2012.561584
hand	0.3176	0.5227	2	206	544	7	2010.96875
handling	0.0166	0.1856	1	74	150	2	2012.757576
harbour	1.1219	-0.7882	3	67	178	2	2010.428571
hardware	0.1013	-0.5997	1	110	232	2	2011.944444
hazard	0.2957	-0.547	3	272	706	7	2012.855072
height	-0.5238	-0.5687	1	348	1140	12	2010.601343
helicopter	-0.1317	0.0881	2	53	112	2	2011.678571
heterogeneity	0.8215	-0.6024	3	90	194	2	2014.002481
hh/hv	-1.0487	0.5816	1	141	398	4	2016
hierarchical	1.044	0.4395	2	64	142	2	2011.5
hierarchical model	1.0441	0.4392	2	64	142	2	2014.823529
high accuracy	-0.4824	0.4295	1	152	366	4	2012.55
high arctic	0.2037	-0.9584	3	104	346	4	2013.319239
high latitudes	0.4132	-0.45	3	338	1060	10	2011.932029
high spatial resolution	0.1966	-0.727	3	137	320	3	2013.379085
high-frequency	-0.0841	-0.0235	1	135	326	4	2011.689759
high-latitude regions	0.652	-0.0731	2	230	604	6	2012.707317
high-resolution	-0.1012	0.1249	2	605	2616	30	2012.264879
himawari-8	0.2043	0.6218	2	80	220	3	2018.142857
history	0.0914	-0.5145	3	175	402	4	2011.001969
hole	0.378	0.0736	2	74	152	2	2010.693467
homogeneity	0.3386	0.3422	2	107	260	3	2009.934426
horizon	0.3596	-0.4411	1	96	208	2	2012.354286
hudson	0.2284	-0.748	1	189	506	6	2008.012876
hudson bay	0.2292	-0.7475	1	189	506	6	2008.175879
hudson bay lowlands	0.8648	-1.0329	3	77	200	2	2014.074074
hybrid-polarity	-0.5502	0.21	1	135	376	4	2014.25
hydrology	0.2722	-1.0757	3	158	364	3	2013.474126
hyperion	0.6494	0.3657	2	68	142	2	2016
hyperspectral	0.7493	0.6775	2	120	342	4	2016.058824
hyperspectral data	0.8339	0.4719	2	97	248	3	2013.666667
hyperspectral image	0.856	0.7621	2	71	174	2	2016.222222
ice	-0.289	0.2814	1	1436	20422	235	2011.721291
ice analysis	-0.5019	0.5534	2	352	1256	13	2013.119048
ice case	-0.88	-0.0016	1	76	160	2	2011.833333
ice characterization	-1.0832	0.3464	1	175	600	7	2015.25
ice charts	-0.6593	0.7149	1	362	1710	21	2011.137931
ice class	0.0824	1.0789	2	118	278	2	2007.2
ice classification	-0.0152	0.5705	2	681	4256	46	2010.788462
ice concentration	-0.5744	0.5589	1	578	3408	36	2013.492537
ice conditions	-0.2763	0.1316	1	267	778	8	2011.713198
ice coverage	-0.7729	-0.8862	1	76	170	2	2012.512195
ice detection	-0.2943	0.2214	2	583	2788	29	2015.972222
ice disaster	0.395	0.0104	2	104	228	2	2014.333333
ice drift	-1.1417	0.3184	1	142	426	5	2009.019608
ice dynamics	-1.1441	0.4111	1	93	216	2	2013.540943
ice edge	-0.4179	0.8012	2	260	874	9	2010.185455
ice extent	-0.7838	0.0298	1	243	776	7	2012.764347
ice extraction	0.4877	0.6612	2	53	114	2	2005
ice fields	-0.218	0.5958	1	73	158	2	2010.095238
ice floes	-0.4633	0.4534	1	156	382	5	2008.125
ice formation	-1.2355	-0.6808	1	137	316	2	2009.892857
ice growth	-1.118	-0.4148	1	128	306	2	2010.290179
ice infested waters	-0.3871	0.8984	1	72	168	2	2014.5
ice layers	-0.4002	0.0749	1	75	160	2	2011.030928
ice mapping	-0.4621	0.3389	1	254	752	7	2012.894737
ice melt	-0.5025	-0.2224	2	108	238	2	2012.747368
ice model	-0.8464	0.5182	1	206	592	7	2011.207143
ice modeling	-0.4522	0.9891	1	70	156	2	2014.870968
