id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
spitsbergen	0.2527	0.0817	5	553	3938	2008.405823
spots	-0.1992	-0.6089	2	364	1464	2009.61157
spread	0.587	0.3622	3	408	1944	2008.634921
spring	0.3427	-0.4235	4	719	5618	2008.097068
ssm/i	-0.991	0.1771	1	397	2216	2004.868805
sst	0.7029	0.7891	3	223	846	2010.05105
st	-0.9469	0.3892	1	190	512	2007.705882
stability	0.5324	-0.1821	2	807	6816	2009.500887
stage	0.3872	-0.2091	5	444	1898	2008.259718
standard	-0.8747	0.1913	1	359	1474	2008.650912
standard deviation	-0.9704	0.2332	1	478	2514	2009.368356
state	0.2532	-0.0947	2	876	9580	2009.742678
stations	-0.2582	0.6854	3	733	6570	2007.983598
statistics	-0.7708	-0.2662	1	396	1620	2009.312095
status	-0.6425	0.3765	1	264	874	2009.341864
steady state	0.381	-0.6744	2	337	1354	2007.005666
steps	-0.9117	-0.0502	1	366	1342	2009.019451
stokes	0.4948	-0.9004	2	263	928	2011.404908
storage	0.0551	-0.612	6	691	5836	2010.328125
store	0.4907	-0.9581	2	357	1650	2011.108911
storm	0.5316	-0.1088	4	214	556	2008.742366
strain	0.111	-0.936	2	594	3986	2009.297418
strait	0.9333	0.1715	4	476	2342	2007.897357
strategies	-0.3682	-0.2407	1	484	2110	2010.305877
stratification	1.1521	-0.2546	4	418	2468	2009.44012
stratigraphy	-0.5538	-0.6117	6	352	1630	2007.119691
stream	0.1856	-0.4537	2	858	9012	2008.836139
strength	0.356	-0.3075	2	545	3068	2009.266467
stress	0.459	-0.9034	2	736	7772	2009.003348
structure	-0.0476	-0.5685	6	906	8926	2008.655706
style	0.5541	-1.0356	2	272	1040	2007.719298
subglacial	0.4952	-0.9224	2	562	4296	2010.191824
subglacial lakes	0.0345	-0.7906	2	322	1298	2011.781915
sublimation	-0.1124	1.184	3	300	1276	2008.473461
submarine	1.1098	-0.4568	4	661	7462	2009.071134
subsidence	-0.0902	-0.4057	2	252	802	2007.462963
substrate	0.4543	-0.9774	2	186	542	2008.452754
subsurface	0.5223	-0.3773	4	744	5626	2009.927347
summer	0.2323	0.3011	3	1256	35916	2008.716639
summer season	-0.3694	0.675	1	235	756	2009.599483
summer temperatures	-0.1097	0.8825	3	418	2086	2008.977369
summertime	0.4332	0.4435	3	221	686	2009.23617
summit	-0.4955	0.3955	3	507	2812	2006.845519
sun	0.224	0.0438	1	191	474	2007.758571
supply	0.8456	-0.2579	4	524	2896	2008.462921
support	0.1543	-0.1088	1	610	3190	2009.291409
surface	-0.1108	0.0568	3	1403	98884	2008.863385
surface air temperature	-0.0429	0.9424	3	325	1260	2011.034003
surface albedo	0.0792	1.0833	3	423	2434	2009.227533
surface area	-0.2758	-0.1863	5	286	1034	2007.638484
surface conditions	0.2914	0.8913	3	218	650	2009.117284
surface elevation	-0.8064	0.2483	1	752	7716	2009.676871
surface energy balance	-0.0306	0.9237	3	351	1858	2009.363265
surface layer	1.0006	-0.3198	4	326	1460	2007.284439
surface mass balance	-0.036	0.9906	3	942	16558	2012.738255
